palabra,idioma
5.3,euskara
Banaketa,euskara
administratiboa,euskara
5.4,euskara
Alderdi,euskara
politikoak,euskara
eta,euskara
hauteskundeak,euskara
5.5,euskara
Ikurrak,euskara
5.5.1,euskara
Bandera,euskara
5.5.2,euskara
Ereserkia,euskara
5.5.3,euskara
Beste,euskara
ikur,euskara
batzuk,euskara
6,euskara
Ekonomia,euskara
Erakutsi/ezkutatu,euskara
Ekonomia,euskara
azpiatal,euskara
6.1,euskara
Lehen,euskara
sektorea,euskara
6.2,euskara
Industria,euskara
6.3,euskara
Zerbitzuak,euskara
6.4,euskara
Zientzia,euskara
eta,euskara
teknologia,euskara
7,euskara
Azpiegiturak,euskara
Erakutsi/ezkutatu,euskara
Azpiegiturak,euskara
azpiatal,euskara
7.1,euskara
Garraiobideak,euskara
7.1.1,euskara
Errepideak,euskara
7.1.2,euskara
Trenbideak,euskara
7.1.3,euskara
Aireportuak,euskara
7.1.4,euskara
Itsas-portuak,euskara
7.2,euskara
Energia,euskara
7.2.1,euskara
Industrializazioa,euskara
aintzineko,euskara
energia-iturri,euskara
eta,euskara
azpiegiturak,euskara
7.2.2,euskara
Industrializazioarekin,euskara
sortu,euskara
edo,euskara
indartu,euskara
ziren,euskara
energia-iturri,euskara
eta,euskara
azpiegiturak,euskara
7.2.3,euskara
Energia-iturri,euskara
mota,euskara
berriak,euskara
eta,euskara
zahar-berriak,euskara
7.2.4,euskara
Euskal,euskara
Herriko,euskara
energia,euskara
ekoizle,euskara
eta,euskara
hornitzaileak,euskara
7.3,euskara
Ura,euskara
7.3.1,euskara
Ur-hornikuntza,euskara
eta,euskara
saneamendua,euskara
7.4,euskara
Osasun-azpiegiturak,euskara
7.5,euskara
Hezkuntza,euskara
eta,euskara
azpiegiturak,euskara
7.5.1,euskara
Unibertsitateak,euskara
7.5.2,euskara
Hizkuntza,euskara
Eskola,euskara
"Ofizialak,",euskara
Musika,euskara
"Kontserbatorioak,",euskara
Arte,euskara
Eskolak,euskara
7.5.3,euskara
Helduen,euskara
alfabetatze,euskara
eta,euskara
euskalduntzea,euskara
8,euskara
Kultura,euskara
Erakutsi/ezkutatu,euskara
Kultura,euskara
azpiatal,euskara
8.1,euskara
Literatura,euskara
8.1.1,euskara
Euskarazko,euskara
literatura,euskara
8.1.2,euskara
Euskal,euskara
Herriko,euskara
erdal,euskara
literaturak,euskara
8.2,euskara
Filosofia,euskara
8.3,euskara
Arte,euskara
bisualak,euskara
8.3.1,euskara
Euskal,euskara
Herriko,euskara
margolaritza,euskara
8.3.2,euskara
Euskal,euskara
Herriko,euskara
eskulturagintza,euskara
8.4,euskara
Musika,euskara
8.5,euskara
Antzerkigintza,euskara
8.6,euskara
Zinema,euskara
8.7,euskara
Kirolak,euskara
8.8,euskara
Gastronomia,euskara
8.9,euskara
Hedabideak,euskara
8.10,euskara
Mitologia,euskara
8.11,euskara
Erlijioa,euskara
8.12,euskara
Onomastika,euskara
9,euskara
Oharrak,euskara
10,euskara
Erreferentziak,euskara
11,euskara
"Ikus,",euskara
gainera,euskara
12,euskara
Kanpo,euskara
estekak,euskara
Eduki,euskara
taularen,euskara
ikusgarritasuna,euskara
aldatu,euskara
Euskal,euskara
Herria,euskara
97,euskara
hizkuntza,euskara
Afrikaans,euskara
Aragonés,euskara
العربية,euskara
الدارجة,euskara
مصرى,euskara
Asturianu,euskara
Azərbaycanca,euskara
Беларуская,euskara
Беларуская,euskara
(тарашкевіца),euskara
Български,euskara
Brezhoneg,euskara
Bosanski,euskara
Català,euskara
Čeština,euskara
Cymraeg,euskara
Dansk,euskara
Dagbanli,euskara
Deutsch,euskara
Ελληνικά,euskara
English,euskara
Esperanto,euskara
Español,euskara
Eesti,euskara
Estremeñu,euskara
فارسی,euskara
Suomi,euskara
Võro,euskara
Français,euskara
Arpetan,euskara
Nordfriisk,euskara
Gaeilge,euskara
Gàidhlig,euskara
Galego,euskara
Gaelg,euskara
עברית,euskara
Hrvatski,euskara
Magyar,euskara
Հայերեն,euskara
Bahasa,euskara
Indonesia,euskara
Ido,euskara
Íslenska,euskara
Italiano,euskara
日本語,euskara
La,euskara
.lojban.,euskara
ქართული,euskara
Taqbaylit,euskara
Tyap,euskara
한국어,euskara
Kurdî,euskara
Kernowek,euskara
Latina,euskara
Lingua,euskara
Franca,euskara
Nova,euskara
Limburgs,euskara
Lombard,euskara
ລາວ,euskara
Lietuvių,euskara
Latviešu,euskara
Malagasy,euskara
Māori,euskara
Македонски,euskara
മലയാളം,euskara
Mirandés,euskara
مازِرونی,euskara
Plattdüütsch,euskara
Nederlands,euskara
Norsk,euskara
nynorsk,euskara
Norsk,euskara
bokmål,euskara
Occitan,euskara
Livvinkarjala,euskara
Picard,euskara
Polski,euskara
Português,euskara
Română,euskara
Armãneashti,euskara
Русский,euskara
Sardu,euskara
Sicilianu,euskara
Scots,euskara
Srpskohrvatski,euskara
/,euskara
српскохрватски,euskara
Simple,euskara
English,euskara
Slovenščina,euskara
Српски,euskara
/,euskara
srpski,euskara
Svenska,euskara
Kiswahili,euskara
தமிழ்,euskara
ไทย,euskara
Türkçe,euskara
Українська,euskara
Vèneto,euskara
Tiếng,euskara
Việt,euskara
West-Vlams,euskara
Walon,euskara
吴语,euskara
მარგალური,euskara
中文,euskara
閩南語,euskara
/,euskara
Bân-lâm-gú,euskara
粵語,euskara
Aldatu,euskara
loturak,euskara
Artikulua,euskara
Eztabaida,euskara
euskara,euskara
Irakurri,euskara
Kodea,euskara
ikusi,euskara
Ikusi,euskara
historia,euskara
Tresnak,euskara
Tresnak,euskara
mugitu,euskara
alboko,euskara
barrara,euskara
ezkutatu,euskara
Ekintzak,euskara
Irakurri,euskara
Kodea,euskara
ikusi,euskara
Ikusi,euskara
historia,euskara
Orokorra,euskara
Honanzko,euskara
esteka,euskara
duten,euskara
orriak,euskara
Lotutako,euskara
orrietako,euskara
aldaketak,euskara
Fitxategia,euskara
igo,euskara
Lotura,euskara
iraunkorra,euskara
Orri,euskara
honen,euskara
datuak,euskara
Artikulu,euskara
hau,euskara
aipatu,euskara
URL,euskara
laburra,euskara
lortu,euskara
QR,euskara
kodea,euskara
jaitsi,euskara
Inprimatu/esportatu,euskara
Liburu,euskara
bat,euskara
sortu,euskara
Deskargatu,euskara
PDF,euskara
formatuan,euskara
Inprimatzeko,euskara
bertsioa,euskara
Beste,euskara
proiektuetan,euskara
Wikimedia,euskara
Commons,euskara
Wikidata,euskara
itema,euskara
Itxura,euskara
mugitu,euskara
alboko,euskara
barrara,euskara
ezkutatu,euskara
Koordenatuak,euskara
:,euskara
42°52′56″N,euskara
1°55′2″W,euskara
﻿,euskara
/,euskara
﻿,euskara
42.88222°N,euskara
1.91722°W,euskara
﻿,euskara
/,euskara
42.88222;,euskara
-1.91722,euskara
"Wikipedia,",euskara
Entziklopedia,euskara
askea,euskara
Artikulu,euskara
hau,euskara
euskal,euskara
herritarron,euskara
lurraldeari,euskara
buruzkoa,euskara
da;,euskara
beste,euskara
"esanahietarako,",euskara
ikus,euskara
«,euskara
Euskal,euskara
Herria,euskara
(argipena),euskara
».,euskara
Euskal,euskara
Herria,euskara
Goiburua:,euskara
"""",euskara
Zazpiak,euskara
Bat,euskara
"""",euskara
Kokapena,euskara
Europan,euskara
Herrialdeak,euskara
Geografia,euskara
Hiriburua,euskara
Iruñea,euskara
42°52′59″N,euskara
1°56′8″W,euskara
Hiririk,euskara
handiena,euskara
Bilbo,euskara
Azalera,euskara
20.947,euskara
km,euskara
2,euskara
Punturik,euskara
altuena,euskara
Hiru,euskara
Erregeen,euskara
Mahaia,euskara
Kontinentea,euskara
Europa,euskara
Administrazioa,euskara
Gobernu-sistema,euskara
Iparraldean:,euskara
Frantzia,euskara
Hegoaldean:,euskara
Espainia,euskara
EAEko,euskara
lehendakaria,euskara
Nafarroa,euskara
Garaiko,euskara
lehendakaria,euskara
Ipar,euskara
Euskal,euskara
Herriko,euskara
Herri,euskara
Elkargoko,euskara
lehendakaria,euskara
Imanol,euskara
Pradales,euskara
María,euskara
Chivite,euskara
Jean-René,euskara
Etxegarai,euskara
Demografia,euskara
Biztanleria,euskara
3.193.513,euskara
Dentsitatea,euskara
"153,02",euskara
bizt/km²,euskara
Erabilitako,euskara
hizkuntzak,euskara
ikusi,euskara
euskara,euskara
",",euskara
gaztelania,euskara
",",euskara
frantses,euskara
eta,euskara
gaskoi,euskara
BPG,euskara
per,euskara
capita,euskara
39.640,euskara
$,euskara
(2017),euskara
BPG,euskara
per,euskara
capita,euskara
EAPn,euskara
34.900,euskara
€,euskara
(2017),euskara
Bestelako,euskara
informazioa,euskara
Euskal,euskara
Herria,euskara
Europako,euskara
herrialde,euskara
bat,euskara
da.,euskara
Historikoki,euskara
euskaldunen,euskara
eta,euskara
euskararen,euskara
lurraldea,euskara
"da,",euskara
Pirinio,euskara
mendien,euskara
mendebaldean,euskara
"kokatua,",euskara
Frantzia,euskara
eta,euskara
Espainiaren,euskara
arteko,euskara
muga,euskara
egiten,euskara
duen,euskara
mendilerroaren,euskara
"inguruan,",euskara
eta,euskara
Bizkaiko,euskara
golkorantz,euskara
zabaltzen,euskara
dena.,euskara
Zazpi,euskara
herrialde,euskara
edo,euskara
probintzia,euskara
ditu:,euskara
[,euskara
1,euskara
],euskara
Araba,euskara
",",euskara
Bizkaia,euskara
",",euskara
Gipuzkoa,euskara
",",euskara
Lapurdi,euskara
",",euskara
Nafarroa,euskara
Beherea,euskara
",",euskara
Nafarroa,euskara
Garaia,euskara
eta,euskara
Zuberoa,euskara
.,euskara
Hala,euskara
"ere,",euskara
ez,euskara
dago,euskara
haien,euskara
arteko,euskara
antolamendu,euskara
politiko-administratibo,euskara
egituraturik.,euskara
"Guztira,",euskara
Euskal,euskara
Herriak,euskara
"20.950,3",euskara
km²,euskara
"ditu,",euskara
eta,euskara
3.193.513,euskara
biztanle,euskara
zituen,euskara
2020an,euskara
[,euskara
2,euskara
],euskara
.,euskara
Iruñea,euskara
hiriburutzat,euskara
jo,euskara
ohi,euskara
"da,",euskara
arrazoi,euskara
historikoak,euskara
direla,euskara
"kausa,",euskara
nahiz,euskara
eta,euskara
izendapen,euskara
ofizialik,euskara
ez,euskara
den.,euskara
Halaxe,euskara
iritzi,euskara
zion,euskara
XVIII.,euskara
mendearen,euskara
hasieran,euskara
Joanes,euskara
Etxeberri,euskara
Sarakoak,euskara
:,euskara
«Iruiñea,euskara
eskualdunen,euskara
hiri,euskara
buruzagia».,euskara
[,euskara
3,euskara
],euskara
Hiririk,euskara
handiena,euskara
Bilbo,euskara
"da,",euskara
eta,euskara
Gasteiz,euskara
de,euskara
facto,euskara
Euskal,euskara
Autonomia,euskara
Erkidegoaren,euskara
hiriburua,euskara
da,euskara
[,euskara
oh,euskara
1,euskara
],euskara
.,euskara
"Gainera,",euskara
beste,euskara
hiru,euskara
udalerrik,euskara
dute,euskara
100.000,euskara
biztanle,euskara
baino,euskara
gehiago.,euskara
1980tik,euskara
"aurrera,",euskara
Euskal,euskara
Herria,euskara
hiru,euskara
eremu,euskara
politikotan,euskara
banatu,euskara
da:,euskara
Euskal,euskara
Autonomia,euskara
Erkidegoa,euskara
eta,euskara
Nafarroako,euskara
Foru,euskara
Komunitatea,euskara
"Espainian,",euskara
eta,euskara
Frantziako,euskara
euskal,euskara
lurraldea,euskara
Pirinio,euskara
Atlantikoetan,euskara
",",euskara
2017tik,euskara
Euskal,euskara
Hirigune,euskara
Elkargoa,euskara
bilakatua.,euskara
Euskal,euskara
Herriko,euskara
biztanleei,euskara
euskal,euskara
herritar,euskara
edo,euskara
—gaur,euskara
egun,euskara
gutxiago,euskara
erabiltzen,euskara
den,euskara
izena—,euskara
euskotar,euskara
deritze;,euskara
lurraldeari,euskara
izena,euskara
eman,euskara
dion,euskara
hizkuntza,euskara
jakin,euskara
edo,euskara
hitz,euskara
egiten,euskara
"dutenei,",euskara
"berriz,",euskara
euskaldun,euskara
.,euskara
Gizaki,euskara
modernoa,euskara
orain,euskara
dela,euskara
35.000,euskara
urte,euskara
iritsi,euskara
zen,euskara
gaur,euskara
egungo,euskara
Euskal,euskara
"Herrira,",euskara
eta,euskara
historiaurrean,euskara
labar-artea,euskara
zein,euskara
hainbat,euskara
monumentu,euskara
megalitiko,euskara
utzi,euskara
zituzten.,euskara
VII.,euskara
mendetik,euskara
"aurrera,",euskara
Erdi,euskara
Aroko,euskara
baskoiak,euskara
agertzen,euskara
hasi,euskara
"ziren,",euskara
eta,euskara
Baskoniako,euskara
Dukerriaren,euskara
inguruan,euskara
kokatu,euskara
ziren.,euskara
824an,euskara
",",euskara
Iruñeko,euskara
Erresuma,euskara
hasi,euskara
zen,euskara
eratzen,euskara
Orreagako,euskara
Guduen,euskara
lorratzean,euskara
(,euskara
778,euskara
eta,euskara
824,euskara
"),",euskara
Antso,euskara
III.a,euskara
Handiaren,euskara
erresumatik,euskara
XII.,euskara
mendera,euskara
Nafarroako,euskara
Erresuma,euskara
bihurtzekoa.,euskara
Errando,euskara
II.a,euskara
Aragoikoa,euskara
gaztelar,euskara
leinuko,euskara
"erregeak,",euskara
"baina,",euskara
garai,euskara
bateko,euskara
Nafarroaren,euskara
erdigunea,euskara
inbaditu,euskara
zuen,euskara
1512an,euskara
",",euskara
eta,euskara
Gaztelako,euskara
Koroari,euskara
atxiki.,euskara
Pirinioez,euskara
"iparraldera,",euskara
Nafarroa,euskara
independenteak,euskara
mende,euskara
batez,euskara
iraun,euskara
zuen.,euskara
Frantziako,euskara
Iraultzaz,euskara
eta,euskara
Karlistaldien,euskara
"garaian,",euskara
Frantzia,euskara
eta,euskara
Espainiako,euskara
nazio,euskara
estatuen,euskara
zentralizazioa,euskara
gailendu,euskara
zen,euskara
.,euskara
XIX.,euskara
"mendean,",euskara
"baina,",euskara
industrializazioaren,euskara
epelean,euskara
",",euskara
eusko,euskara
abertzaletasuna,euskara
sortu,euskara
zen.,euskara
XX.,euskara
mendera,euskara
"arte,",euskara
hala,euskara
"ere,",euskara
gerra,euskara
gogorrek,euskara
astindu,euskara
zuten,euskara
Euskal,euskara
"Herria,",euskara
Francoren,euskara
diktadura,euskara
zapaltzailea,euskara
ere,euskara
tartean.,euskara
Euskal,euskara
gatazka,euskara
piztu,euskara
zen,euskara
testuinguru,euskara
horretan.,euskara
Euskal,euskara
Herriaren,euskara
lehen,euskara
aipamena,euskara
XVI.,euskara
mendekoa,euskara
"da,",euskara
Juan,euskara
Perez,euskara
Lazarraga,euskara
egile,euskara
arabarrak,euskara
eta,euskara
Joanes,euskara
Leizarraga,euskara
nafarrak,euskara
idatzita.,euskara
Euskaldunak,euskara
egungoan,euskara
baino,euskara
lurralde,euskara
zabalagoan,euskara
bizi,euskara
izan,euskara
dira,euskara
"iraganean,",euskara
eta,euskara
egungo,euskara
lurralde,euskara
identifikazioa,euskara
XVII.,euskara
mendean,euskara
hasi,euskara
zen,euskara
eratzen:,euskara
Axular,euskara
idazleak,euskara
euskaldunen,euskara
egungo,euskara
hedadura,euskara
politiko-administratiboa,euskara
aipatzen,euskara
du,euskara
Gero,euskara
ren,euskara
aitzin-solasean,euskara
.,euskara
Izenak,euskara
eta,euskara
etimologia,euskara
Gehiago,euskara
"jakiteko,",euskara
irakurri:,euskara
«,euskara
Euskadi,euskara
(terminoaren,euskara
historia),euskara
»,euskara
Eusk-,euskara
morfemaren,euskara
etimologiaz,euskara
hipotesi,euskara
asko,euskara
egin,euskara
dira.,euskara
"Ezagunena,",euskara
"agian,",euskara
Sabin,euskara
Aranak,euskara
proposatutako,euskara
eusk,euskara
-,euskara
<,euskara
e(g)uzk(i).,euskara
Gaur,euskara
"egun,",euskara
"baina,",euskara
etimologia,euskara
horretan,euskara
inork,euskara
gutxik,euskara
sinesten,euskara
du.,euskara
(,euskara
egu-z-ki,euskara
hitzaren,euskara
morfemen,euskara
zatiketa,euskara
eta,euskara
"bilakaera,",euskara
gaur,euskara
egungo,euskara
hizkuntzalari,euskara
gehienen,euskara
"ustez,",euskara
hipotesi,euskara
honen,euskara
kontra,euskara
egingo,euskara
lukete).,euskara
Nolabaiteko,euskara
"sinesgarritasuna,",euskara
"ordea,",euskara
eman,euskara
izan,euskara
zaio,euskara
erromatarren,euskara
garaian,euskara
dokumentatutako,euskara
ausci,euskara
hitzaren,euskara
hipotesiari.,euskara
Ausci,euskara
"hori,",euskara
akitanieraren,euskara
garaiko,euskara
inguruko,euskara
herri,euskara
baten,euskara
izena,euskara
zen.,euskara
Ausc-,euskara
hori,euskara
Auch,euskara
bilakatu,euskara
bide,euskara
da.,euskara
Agian,euskara
loturaren,euskara
bat,euskara
egon,euskara
liteke,euskara
gaur,euskara
egungo,euskara
Eusk-,euskara
horren,euskara
eta,euskara
akitanieraren,euskara
garaiko,euskara
ausc,euskara
-i,euskara
horren,euskara
artean.,euskara
Mitxelenak,euskara
",",euskara
esate,euskara
"baterako,",euskara
noiz,euskara
edo,euskara
noiz,euskara
[,euskara
4,euskara
],euskara
",",euskara
zuhurtziaz,euskara
aipatu,euskara
zuen,euskara
hipotesi,euskara
hau.,euskara
Euskal,euskara
Herria,euskara
Lazarragaren,euskara
eskuizkribuko,euskara
18.,euskara
orriko,euskara
hitzak:,euskara
eusquel,euskara
erriau,euskara
(Euskal,euskara
Herri,euskara
hau).,euskara
Euskal,euskara
Herria,euskara
"izenak,",euskara
hitzez,euskara
"hitz,",euskara
«euskararen,euskara
lurraldea»,euskara
esan,euskara
nahi,euskara
du;,euskara
hau,euskara
"da,",euskara
euskaraz,euskara
egiten,euskara
den,euskara
lur,euskara
"eremua,",euskara
hori,euskara
baitzuen,euskara
hasierako,euskara
esanahia.,euskara
"Alabaina,",euskara
azken,euskara
"mendeotan,",euskara
zazpi,euskara
herrialdeak,euskara
izendatzeko,euskara
erabili,euskara
da.,euskara
Gaur,euskara
egungo,euskara
"euskaran,",euskara
"bada,",euskara
esanahi,euskara
horixe,euskara
"du,",euskara
Euskaltzaindiak,euskara
2004ko,euskara
uztailean,euskara
euskara,euskara
baturako,euskara
emandako,euskara
139.,euskara
arauan,euskara
zehaztu,euskara
zuenez.,euskara
[,euskara
5,euskara
],euskara
[,euskara
oh,euskara
2,euskara
],euskara
Historian,euskara
zehar,euskara
asko,euskara
izan,euskara
dira,euskara
izen,euskara
hori,euskara
erabili,euskara
dutenak.,euskara
Aipamen,euskara
idatzirik,euskara
zaharrenak,euskara
XVI.,euskara
eta,euskara
XVII.,euskara
mendeetakoak,euskara
dira.,euskara
Joanes,euskara
Leizarraga,euskara
lapurtarraren,euskara
Testamentu,euskara
Berrian,euskara
(,euskara
1571n,euskara
"argitaratua,",euskara
Arroxelan,euskara
),euskara
hiru,euskara
aldiz,euskara
ageri,euskara
da;,euskara
[,euskara
6,euskara
],euskara
[,euskara
oh,euskara
3,euskara
],euskara
Joan,euskara
Perez,euskara
Lazarraga,euskara
arabarraren,euskara
eskuizkribuan,euskara
(1567tik,euskara
1602ra,euskara
bitartean,euskara
idatzia),euskara
"ere,",euskara
hiru,euskara
aldiz,euskara
ageri,euskara
da;,euskara
[,euskara
7,euskara
],euskara
[,euskara
oh,euskara
4,euskara
],euskara
Esteve,euskara
Materra,euskara
frantziar,euskara
euskaldunduaren,euskara
Doctrina,euskara
Christiana,euskara
liburuxkan,euskara
(,euskara
1617an,euskara
"argitaratua,",euskara
Bordelen,euskara
),euskara
bost,euskara
aldiz,euskara
ageri,euskara
da;,euskara
[,euskara
8,euskara
],euskara
[,euskara
oh,euskara
5,euskara
],euskara
Axular,euskara
"nafarrak,",euskara
Gero,euskara
maisulanean,euskara
(,euskara
1643n,euskara
"argitaratua,",euskara
Bordelen,euskara
"),",euskara
liburuaren,euskara
aitzin,euskara
solasean,euskara
erabili,euskara
"zuen,",euskara
eta,euskara
Euskal,euskara
Herriko,euskara
zazpi,euskara
herrialdeak,euskara
ere,euskara
aipatu,euskara
zituen.,euskara
[,euskara
9,euskara
],euskara
[,euskara
oh,euskara
6,euskara
],euskara
Euskadi,euskara
Euskal,euskara
Herriaren,euskara
Euler,euskara
diagrama,euskara
ikusgai.,euskara
Euskadi,euskara
izena,euskara
Sabin,euskara
Aranak,euskara
1896,euskara
.,euskara
urtean,euskara
asmatua,euskara
"da,",euskara
[,euskara
10,euskara
],euskara
Euzkadi,euskara
formarekin,euskara
(,euskara
1960ko,euskara
hamarkadaren,euskara
bukaeraz,euskara
"geroztik,",euskara
euskara,euskara
batuaren,euskara
sorrerarekin,euskara
"batera,",euskara
euskara,euskara
batuko,euskara
Euskadi,euskara
forma,euskara
nagusitu,euskara
da).,euskara
Izan,euskara
"ere,",euskara
Euskal,euskara
Herria,euskara
zentzu,euskara
hertsian,euskara
«euskararen,euskara
herria»,euskara
"izanik,",euskara
hizkuntzarekiko,euskara
loturarik,euskara
ez,euskara
zuen,euskara
hitz,euskara
horren,euskara
beharra,euskara
sumatu,euskara
"zuen,",euskara
"Bizkaia,",euskara
"Gipuzkoa,",euskara
"Araba,",euskara
Nafarroa,euskara
"Garaia,",euskara
"Lapurdi,",euskara
Nafarroa,euskara
Beherea,euskara
eta,euskara
Zuberoa,euskara
barne,euskara
hartzen,euskara
dituen,euskara
lurraldea,euskara
izendatzeko.,euskara
Izen,euskara
berriak,euskara
arrakasta,euskara
handia,euskara
izan,euskara
zuen,euskara
eusko,euskara
abertzaleen,euskara
artean.,euskara
Frankistek,euskara
1936,euskara
.,euskara
urtean,euskara
—,euskara
Espainiako,euskara
Bigarren,euskara
Errepublikaren,euskara
kontra,euskara
altxatu,euskara
zirenean—,euskara
eta,euskara
ondorengo,euskara
urte,euskara
"luzeetan,",euskara
"gainera,",euskara
oso,euskara
errepresio,euskara
gogorra,euskara
egin,euskara
zuten,euskara
Euskadi,euskara
aberritzat,euskara
zutenen,euskara
"kontra,",euskara
eta,euskara
Euskadi,euskara
hitza,euskara
herriaren,euskara
askatasunaren,euskara
aldarrikapen,euskara
bihurtu,euskara
zen.,euskara
"Gerora,",euskara
1970eko,euskara
hamarkadaren,euskara
bukaeratik,euskara
"hona,",euskara
independentismo,euskara
kutsua,euskara
Euskal,euskara
Herria,euskara
izenak,euskara
hartu,euskara
du,euskara
batez,euskara
ere.,euskara
[,euskara
11,euskara
],euskara
Gaur,euskara
"egun,",euskara
"bada,",euskara
Euskadi,euskara
terminoa,euskara
gehienbat,euskara
«Euskal,euskara
Autonomia,euskara
Erkidegoa»,euskara
esanahiarekin,euskara
erabiltzen,euskara
"da,",euskara
baina,euskara
euskaldun,euskara
guztiak,euskara
ez,euskara
datoz,euskara
bat,euskara
horretan.,euskara
[,euskara
oh,euskara
7,euskara
],euskara
Euskaria,euskara
XIX.,euskara
mendearen,euskara
bigarren,euskara
"erdian,",euskara
Euskeria,euskara
",",euskara
Euskaria,euskara
eta,euskara
Euskadia,euskara
terminoak,euskara
erabili,euskara
zituzten,euskara
Euskal,euskara
Herri,euskara
osoa,euskara
izendatzeko.,euskara
Gaztelaniazko,euskara
Vasconia,euskara
ere,euskara
igaro,euskara
da,euskara
euskarazko,euskara
esamolde,euskara
"izatera,",euskara
Baskonia,euskara
grafiarekin.,euskara
Lurralde,euskara
zatiketa,euskara
Gaur,euskara
"egun,",euskara
Euskal,euskara
Herria,euskara
zatitua,euskara
dagoen,euskara
administrazio,euskara
eremuak,euskara
izendatzeko,euskara
bestelako,euskara
izenak,euskara
ere,euskara
erabiltzen,euskara
dira.,euskara
Ipar,euskara
Euskal,euskara
Herria,euskara
deritzona,euskara
frantsesezko,euskara
Pays,euskara
Basque,euskara
ere,euskara
bada.,euskara
2017ko,euskara
urtarrilaren,euskara
1etik,euskara
aurrera,euskara
Ipar,euskara
Euskal,euskara
Herriko,euskara
"udalerriek,",euskara
Eskiulak,euskara
eta,euskara
Jeztazek,euskara
ez,euskara
"beste,",euskara
Euskal,euskara
Hirigune,euskara
Elkargoa,euskara
erakundearen,euskara
barnean,euskara
egituraketa,euskara
administratibo,euskara
bateratua,euskara
dute.,euskara
Hego,euskara
Euskal,euskara
Herriko,euskara
bi,euskara
autonomia,euskara
erkidegoetako,euskara
"bati,",euskara
Euskal,euskara
Autonomia,euskara
Erkidegoari,euskara
",",euskara
askotan,euskara
deitzen,euskara
zaio,euskara
ere,euskara
Euskadi,euskara
zein,euskara
Euskal,euskara
Herria,euskara
",",euskara
nahiz,euskara
eta,euskara
hiru,euskara
herrialde,euskara
baino,euskara
ez,euskara
izan.,euskara
"Hala,",euskara
Gernikako,euskara
Estatutuaren,euskara
"arabera,",euskara
«Euskadi,euskara
zein,euskara
Euskal,euskara
Herria»,euskara
da,euskara
autonomia,euskara
erkidego,euskara
horren,euskara
"izena,",euskara
Espainiako,euskara
Estatuaren,euskara
barruan,euskara
eratua.,euskara
[,euskara
14,euskara
],euskara
[,euskara
oh,euskara
8,euskara
],euskara
Estatutu,euskara
horrek,euskara
berak,euskara
"dioenez,",euskara
Nafarroa,euskara
Garaiak,euskara
ere,euskara
badu,euskara
«Euskal,euskara
Herriko,euskara
Autonomia,euskara
